\\PI as function of cutoff probability. For latticesizes L 
25 50 100 200 400 800
0 0 0 0 0 0 0.35
0 0 0 0 0 0 0.355
0 0 0 0 0 0 0.36
0 0 0 0 0 0 0.365
0 0 0 0 0 0 0.37
0 0 0 0 0 0 0.375
0 0 0 0 0 0 0.38
0 0 0 0 0 0 0.385
0 0 0 0 0 0 0.39
0.0001 0 0 0 0 0 0.395
0.0002 0 0 0 0 0 0.4
0.0002 0 0 0 0 0 0.405
0.0003 0 0 0 0 0 0.41
0.0005 0 0 0 0 0 0.415
0.0006 0 0 0 0 0 0.42
0.001 0 0 0 0 0 0.425
0.0011 0 0 0 0 0 0.43
0.0012 0 0 0 0 0 0.435
0.0017 0 0 0 0 0 0.44
0.0026 0 0 0 0 0 0.445
0.0032 0 0 0 0 0 0.45
0.0047 0 0 0 0 0 0.455
0.0063 0 0 0 0 0 0.46
0.0089 0 0 0 0 0 0.465
0.0118 0 0 0 0 0 0.47
0.0149 0.0001 0 0 0 0 0.475
0.0186 0.0005 0 0 0 0 0.48
0.0247 0.0009 0 0 0 0 0.485
0.0309 0.0013 0 0 0 0 0.49
0.0383 0.0014 0 0 0 0 0.495
0.0474 0.0026 0 0 0 0 0.5
0.0594 0.0035 0 0 0 0 0.505
0.075 0.0051 0 0 0 0 0.51
0.0931 0.0082 0 0 0 0 0.515
0.1141 0.0125 0 0 0 0 0.52
0.136 0.0181 0.0001 0 0 0 0.525
0.16 0.0283 0.0004 0 0 0 0.53
0.1886 0.0415 0.0007 0 0 0 0.535
0.2212 0.0624 0.003 0 0 0 0.54
0.2558 0.0894 0.0058 0.0002 0 0 0.545
0.2967 0.119 0.0119 0.0002 0 0 0.55
0.335 0.1584 0.0266 0.0009 0 0 0.555
0.3817 0.2071 0.0527 0.0026 0 0 0.56
0.4285 0.2638 0.0934 0.0076 0 0 0.565
0.4771 0.3299 0.1552 0.0266 0.0005 0 0.57
0.5266 0.4023 0.2412 0.0722 0.0051 0.0001 0.575
0.5739 0.482 0.3567 0.1687 0.0318 0.0009 0.58
0.6207 0.5643 0.4826 0.3475 0.1656 0.031 0.585
0.6621 0.6399 0.6159 0.5694 0.476 0.3407 0.59
0.7045 0.7069 0.7339 0.7669 0.8133 0.8847 0.595
0.7448 0.7735 0.8314 0.8991 0.9697 0.9979 0.6
0.7817 0.8337 0.9059 0.9701 0.9973 1 0.605
0.8182 0.8812 0.9499 0.9936 0.9999 1 0.61
0.847 0.9189 0.9755 0.9993 1 1 0.615
0.8752 0.947 0.9906 1 1 1 0.62
0.8998 0.9667 0.9968 1 1 1 0.625
0.9228 0.9798 0.9993 1 1 1 0.63
0.9392 0.9874 0.9997 1 1 1 0.635
0.9528 0.9931 0.9999 1 1 1 0.64
0.9636 0.9962 0.9999 1 1 1 0.645
0.9727 0.9982 1 1 1 1 0.65
0.9806 0.9995 1 1 1 1 0.655
0.9868 0.9997 1 1 1 1 0.66
0.9908 0.9997 1 1 1 1 0.665
0.9926 0.9998 1 1 1 1 0.67
0.9951 1 1 1 1 1 0.675
0.9973 1 1 1 1 1 0.68
0.9978 1 1 1 1 1 0.685
0.9984 1 1 1 1 1 0.69
0.9992 1 1 1 1 1 0.695
0.9994 1 1 1 1 1 0.7
0.9997 1 1 1 1 1 0.705
0.9999 1 1 1 1 1 0.71
1 1 1 1 1 1 0.715
1 1 1 1 1 1 0.72
1 1 1 1 1 1 0.725
1 1 1 1 1 1 0.73
1 1 1 1 1 1 0.735
1 1 1 1 1 1 0.74
1 1 1 1 1 1 0.745
1 1 1 1 1 1 0.75
